SUBJECT_RACE,REASON_FOR_FORCE,OFFICER_RACE
Black,Assaulting Officer(s),Asian
Black,Assaulting Officer(s),Asian
Black,Other / Non-Compliant,Asian
UNDEFINED,Assaulting Officer(s),Asian
UNDEFINED,Assaulting Officer(s),Asian
UNDEFINED,Assaulting Officer(s),Asian
UNDEFINED,Assaulting Officer(s),Asian
UNDEFINED,Assaulting Officer(s),Asian
White,Assaulting Officer(s),Asian
White,Assaulting Officer(s),Asian
White,Assaulting Officer(s),Asian
White,Assaulting Officer(s),Asian
White,Assaulting Officer(s),Asian
White,Assaulting Officer(s),Asian
White,Resisting Arrest,Asian
White,Other / Non-Compliant,Asian
White,Other / Non-Compliant,Asian
White,Other / Non-Compliant,Asian
White,Resisting Arrest,Asian
White,Resisting Arrest,Asian
White,Resisting Arrest,Asian
White,Resisting Arrest,Asian
White,Resisting Arrest,Asian
Asian,Resisting Arrest,Black
Black,Assaulting Citizen(s),Black
Black,Assaulting Citizen(s),Black
Black,Assaulting Citizen(s),Black
Black,Assaulting Citizen(s),Black
Black,Assaulting Citizen(s),Black
Black,Assaulting Citizen(s),Black
Black,Assaulting Citizen(s),Black
Black,Assaulting Citizen(s),Black
Black,Assaulting Citizen(s),Black
Black,Assaulting Citizen(s),Black
Black,Assaulting Citizen(s),Black
Black,Assaulting Citizen(s),Black
Black,Assaulting Citizen(s),Black
Black,Assaulting Citizen(s),Black
Black,Assaulting Citizen(s),Black
Black,Assaulting Citizen(s),Black
Black,Assaulting Citizen(s),Black
Black,Assaulting Citizen(s),Black
Black,Assaulting Citizen(s),Black
Black,Assaulting Citizen(s),Black
Black,Assaulting Citizen(s),Black
Black,Assaulting Citizen(s),Black
Black,Assaulting Citizen(s),Black
Black,Assaulting Citizen(s),Black
Black,Assaulting Citizen(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
