SUBJECT_RACE,REASON_FOR_FORCE,OFFICER_RACE
Asian,Assaulting Officer(s),UNDEFINED
Asian,Assaulting Officer(s),UNDEFINED
Asian,Assaulting Officer(s),UNDEFINED
Asian,Assaulting Officer(s),UNDEFINED
Asian,Assaulting Officer(s),UNDEFINED
Asian,Assaulting Officer(s),UNDEFINED
Asian,Assaulting Officer(s),UNDEFINED
Asian,Assaulting Officer(s),UNDEFINED
Asian,Assaulting Officer(s),UNDEFINED
Asian,Assaulting Officer(s),UNDEFINED
Asian,Assaulting Officer(s),UNDEFINED
Asian,Assaulting Officer(s),UNDEFINED
Asian,Assaulting Officer(s),UNDEFINED
Asian,Assaulting Officer(s),UNDEFINED
Asian,Assaulting Officer(s),UNDEFINED
Asian,Assaulting Officer(s),UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Assaulting Officer(s),UNDEFINED
Asian,Assaulting Officer(s),UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
Asian,Resisting Arrest,UNDEFINED
